name,dates,region
"Национальный парк «Сайлюгемский»","20-26 июня","Республика Алтай"
"Национальный парк «Сенгилеевские горы»","20-28 июня","Ульяновская область"
"Забайкальский национальный парк","20-29 июня","Республика Бурятия"
"Национальный парк «Себежский»","20-29 июня","Псковская область"
"Государственный природный заповедник «Дагестанский»","20-29 июня","Республика Дагестан"
"Государственный природный биосферный заповедник «Катунский»","21-29 июня","Республика Алтай"
"Национальный парк «Валдайский»","22-27 июня","Новгородская область"
"Государственный историко-архитектурный и этнографический музей-заповедник «Кижи»","22-28 июня","Республика Карелия"
"Астраханский государственный заповедник","25 июня- 1 июля","Астраханская область"
"Государственный природный заповедник «Тигирекский»","25 июня- 2 июля","Алтайский край"
"Кирилло-Белозерский историко-архитектурный и художественный музей-заповедник","25 июня- 4 июля","Вологодская область"
"Сихотэ-Алинский государственный заповедник","25 июня- 4 июля","Приморский край"
"Государственный природный заповедник «Пасвик»","25 июня- 4 июля","Мурманская область"
"Государственный музей-заповедник «Царское Село»","26 июня- 5 июля","Санкт-Петербург"
"Национальный парк «Тункинский»","26 июня- 5 июля","Республика Бурятия"
"Государственный природный биосферный заповедник «Даурский»","27 июня-4 июля","Забайкальский край"
"Археологический комплекс «Беломорские петроглифы»","27 июня- 6 июля","Республика Карелия"
"Государственный заповедник «Басеги»","29 июня – 5 июля","Пермский край"
"Висимский государственный природный биосферный заповедник","29 июня- 5 июля","Свердловская область"
"Национальный парк «Красноярские Столбы»","29 июня- 5 июля","Красноярский край"
"Волжско-Камский государственный природный биосферный заповедник","29 июня- 8 июля","Республика Татарстан"
"Байкальский государственный заповедник","1- 10 июля","Республика Бурятия"
"Национальный парк «Нижегородское Поволжье» имени В.А. Лебедева","1- 10 июля","Нижегородская область"
"Национальный парк «Себежский»","1- 10 июля","Псковская область"
"Тотемское музейное объединение","1- 10 июля","Вологодская область"
"Государственный мемориальный историко-художественный и природный музей-заповедник В.Д. Поленова","1- 10 июля","Тульская область"
"Природный парк «Ергаки»","6- 15 июля","Красноярский край"
"Национальный парк «Земля леопарда»","6- 15 июля","Приморский край"
"Государственный природный заповедник «Хакасский»","6- 12 июля","Республика Хакасия"
"Государственный историко-литературный музей-заповедник А.С. Пушкина","8- 16 июля","Московская область"
"Государственный природный биосферный заповедник «Костомукшский»","8- 17 июля","Республика Карелия"
"Сочинский национальный парк","11- 19 июля","Краснодарский край"
"Музей-заповедник А.П. Чехова","13- 19 июля","Московская область"
"Национальный парк «Прибайкальский»","15- 22 июля","Иркутская область"
"Музейно-выставочный центр г.Находка","18- 27 июля","Приморский край"
"Государственный природный заповедник «Оренбургский»","20- 29 июля","Оренбургская область"
"Национальный парк «Самарская Лука»","20- 29 июля","Самарская область"
"Национальный парк «Чикой»","20- 29 июля","Забайкальский край"
"Государственный природный заповедник «Большая Кокшага»","29 июля- 7 августа","Республика Марий Эл"
"Государственный природный биосферный заповедник «Даурский»","1- 8 августа","Забайкальский край"
"Государственный заповедник «Нургуш»","3- 9 августа","Кировская область"
"Археологический комплекс «Онежские петроглифы»","3- 12 августа","Республика Карелия"
"Памятник природы «Каменный лес»","4- 13 августа","Республика Хакасия"
"Национальный парк «Угра»","10- 19 августа","Калужская область"
"Национальный парк «Чикой»","10- 19 августа","Забайкальский край"
"Государственный мемориальный и природный заповедник «Музей-усадьба Л.Н. Толстого «Ясная Поляна»","10- 21 августа","Тульская область"
"Государственный обьединенный музей-заповедник истории Дальнего Востока имени В.К. Арсеньева","11- 20 августа","Приморский край"
"Государственный природный заповедник «Джергинский»","14- 20 августа","Республика Бурятия"
"Государственный военно-исторический и природный музей-заповедник «Куликово поле»","15- 24 августа","Тульская область"
"Национальный парк «Красноярские Столбы»","17- 23 августа","Красноярский край"
"Забайкальский национальный парк","17- 26 августа","Республика Бурятия"
"Зейский государственный природный заповедник","17- 26 августа","Амурская область"
"Государственный музей-заповедник «Царское Село»","17- 26 августа","Санкт-Петербург"
"Национальный парк «Земля леопарда»","17- 26 августа","Приморский край"
"Государственный природный заповедник «Шайтан-Тау»","17- 26 августа","Оренбургская область"
"Государственный заповедник «Шульган-Таш»","20- 27 августа","Республика Башкортостан"
"Государственный мемориальный историко-художественный и природный музей-заповедник В.Д. Поленова","26 августа- 4 сентября","Тульская область"
"Национальный парк «Кенозерский»","27 августа- 5 сентября","Архангельская область"
"Памятник природы «Гора Монах – водопады реки Кутанка»","1- 8 сентября","Республика Адыгея"
"Национальный парк «Кенозерский»(Онежское поморье)","1- 10 сентября","Архангельская область"
"Государственный заповедник «Чёрные земли»","1- 10 сентября","Республика Калмыкия"
"Государственный историко-архитектурный и этнографический музей-заповедник «Кижи»","2- 8 сентября","Республика Карелия"
"Государственный природный заповедник «Большая Кокшага»","4- 13 сентября","Республика Марий Эл"
"Резерв","",""
